#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 02 26 16 00  10  2.0  3.0   3.9    14    MM  MM 1019.6   5.6   8.5    MM   MM +2.2    MM
2018 02 26 15 00  10  3.0  4.0   4.0    14    MM  MM 1018.6   5.3   8.5    MM   MM +2.0    MM
2018 02 26 14 00 310  5.0  6.0   3.7    15    MM  MM 1017.8   6.0   8.5    MM   MM +1.7    MM
2018 02 26 13 00 300  6.0  8.0   4.0    15    MM  MM 1017.4   6.1   8.6    MM   MM +1.8    MM
2018 02 26 12 00 310  6.0  9.0   3.9    14    MM  MM 1016.6   6.0   8.7    MM   MM +1.7    MM
2018 02 26 11 00 310  7.0  9.0   4.0    14    MM  MM 1016.1   6.0   8.8    MM   MM +2.1    MM
2018 02 26 10 00 320  7.0  9.0   4.1    14    MM  MM 1015.6   5.9   8.7    MM   MM +2.3    MM
2018 02 26 09 00 300  7.0  9.0   4.3    14    MM  MM 1014.9   6.0   8.6    MM   MM +2.2    MM
2018 02 26 08 00 300  8.0 10.0   4.4    14    MM  MM 1014.0   5.9   8.6    MM   MM +2.1    MM
2018 02 26 07 00 310  8.0 10.0   4.5    15    MM  MM 1013.3   5.6   8.6    MM   MM +2.1    MM
2018 02 26 06 00 310  7.0  9.0   4.8    15    MM  MM 1012.7   5.3   8.6    MM   MM +2.0    MM
2018 02 26 05 00 280  9.0 13.0   4.9    15    MM  MM 1011.9   5.2   8.5    MM   MM +1.8    MM
2018 02 26 04 00 290  6.0  8.0   5.3    14    MM  MM 1011.2   5.1   8.4    MM   MM +1.4    MM
2018 02 26 03 00 280  9.0 11.0   4.7    15    MM  MM 1010.7   5.2   8.4    MM   MM +0.9    MM
2018 02 26 02 00 290  8.0 11.0   4.8    13    MM  MM 1010.1   5.3   8.4    MM   MM +0.3    MM
2018 02 26 01 00 270  9.0 11.0   4.7    13    MM  MM 1009.8   5.0   8.4    MM   MM +0.4    MM
2018 02 26 00 00 290  8.0 10.0   4.9    13    MM  MM 1009.8   4.0   8.4    MM   MM +0.3    MM
2018 02 25 23 00 260  6.0  9.0   4.8    14    MM  MM 1009.8   3.7   8.4    MM   MM +0.5    MM
2018 02 25 22 00 260 11.0 14.0   4.8    12    MM  MM 1009.4   3.7   8.5    MM   MM +0.3    MM
2018 02 25 21 00 280  8.0 12.0   4.5    12    MM  MM 1009.5   4.7   8.5    MM   MM +0.3    MM
2018 02 25 20 00 290 11.0 14.0   4.5    13    MM  MM 1009.3   4.8   8.5    MM   MM -0.3    MM
2018 02 25 19 00 270 11.0 17.0   4.3    12    MM  MM 1009.1   5.4   8.6    MM   MM +0.0    MM
2018 02 25 18 00 270 11.0 14.0   4.5    12    MM  MM 1009.2   5.7   8.8    MM   MM +0.2    MM
2018 02 25 17 00 270 11.0 16.0   4.6    10    MM  MM 1009.6   2.7   8.8    MM   MM +0.4    MM
2018 02 25 16 00 270 12.0 14.0   4.3    11    MM  MM 1009.1   5.5   8.8    MM   MM -0.3    MM
2018 02 25 15 00 280 12.0 15.0   4.0    11    MM  MM 1009.0   6.1   8.8    MM   MM -0.7    MM
2018 02 25 14 00 300 11.0 15.0   4.0     7    MM  MM 1009.2   4.5   8.8    MM   MM -1.2    MM
2018 02 25 13 00 270 15.0 21.0   3.7     9    MM  MM 1009.4   5.2   8.8    MM   MM -1.7    MM
2018 02 25 12 00 270 11.0 15.0   3.3     8    MM  MM 1009.7   6.9   8.8    MM   MM -1.8    MM
2018 02 25 11 00 270 10.0 17.0   3.2    14    MM  MM 1010.4   6.9   8.8    MM   MM -1.6    MM
2018 02 25 10 00 270 12.0 15.0   3.0    12    MM  MM 1011.1   7.3   8.8    MM   MM -1.8    MM
2018 02 25 09 00 260 12.0 16.0   3.1    13    MM  MM 1011.5   7.1   8.7    MM   MM -2.3    MM
2018 02 25 08 00 260 11.0 14.0   2.9    14    MM  MM 1012.0   7.0   8.6    MM   MM -3.2    MM
2018 02 25 07 00 260 11.0 14.0   2.9    13    MM  MM 1012.9   7.5   8.6    MM   MM -3.8    MM
2018 02 25 06 00 210  9.0 12.0   2.8    14    MM  MM 1013.8   6.9   8.5    MM   MM -3.6    MM
2018 02 25 05 00 220  9.0 12.0   3.1    14    MM  MM 1015.2   7.1   8.5    MM   MM -3.0    MM
2018 02 25 04 00 220  9.0 12.0   3.2    14    MM  MM 1016.7   7.3   8.5    MM   MM -2.2    MM
2018 02 25 03 00 220  9.0 11.0   3.1    13    MM  MM 1017.4   7.7   8.5    MM   MM -2.3    MM
2018 02 25 02 00 230  6.0  8.0   3.5    13    MM  MM 1018.2   6.5   8.5    MM   MM -1.7    MM
2018 02 25 01 00 250  6.0  8.0   3.4    13    MM  MM 1018.9   7.6   8.6    MM   MM -0.9    MM
2018 02 25 00 00 260  7.0  9.0   3.6    13    MM  MM 1019.7   7.5   8.6    MM   MM -0.4    MM
2018 02 24 23 00 270  8.0 10.0   3.4    13    MM  MM 1019.9   7.4   8.6    MM   MM -0.3    MM
2018 02 24 22 00 280  8.0 10.0   3.5    14    MM  MM 1019.8   7.5   8.5    MM   MM -0.3    MM
2018 02 24 21 00 300  7.0 10.0   3.5    13    MM  MM 1020.1   7.5   8.6    MM   MM +0.6    MM
2018 02 24 20 00 300  7.0  9.0   3.8    12    MM  MM 1020.2   7.2   8.6    MM   MM +1.5    MM
2018 02 24 19 00 300  9.0 11.0   3.9    12    MM  MM 1020.1   7.0   8.6    MM   MM +2.1    MM
2018 02 24 18 00 300  9.0 12.0   3.5    12    MM  MM 1019.5   6.8   8.6    MM   MM +2.5    MM
2018 02 24 17 00 290 11.0 13.0   3.7    12    MM  MM 1018.7   6.8   8.6    MM   MM +3.1    MM
2018 02 24 16 00 300 10.0 12.0   3.6    11    MM  MM 1018.0   6.6   8.6    MM   MM +3.2    MM
2018 02 24 15 00 310 12.0 14.0   4.0    12    MM  MM 1017.0   6.3   8.6    MM   MM +2.8    MM
2018 02 24 14 00 300 12.0 15.0   4.0    12    MM  MM 1015.6   6.3   8.5    MM   MM +2.0    MM
2018 02 24 13 00 310 12.0 15.0   4.0    11    MM  MM 1014.8   6.4   8.6    MM   MM +1.1    MM
2018 02 24 12 00 300 13.0 15.0   4.0    12    MM  MM 1014.2   5.9   8.7    MM   MM +0.5    MM
2018 02 24 11 00 300 14.0 17.0   4.2    10    MM  MM 1013.6   6.2   8.6    MM   MM -0.5    MM
2018 02 24 10 00 300 14.0 16.0   3.7    10    MM  MM 1013.7   5.7   8.5    MM   MM -0.5    MM
2018 02 24 09 00 290 13.0 16.0   3.5    10    MM  MM 1013.7   6.3   8.5    MM   MM -1.5    MM
2018 02 24 08 00 280  9.0 11.0   3.5     8    MM  MM 1014.1   4.3   8.5    MM   MM -2.4    MM
2018 02 24 07 00 300 13.0 16.0   3.3     8    MM  MM 1014.2   4.8   8.5    MM   MM -3.3    MM
2018 02 24 06 00 260 10.0 14.0   3.0     8    MM  MM 1015.2   5.8   8.5    MM   MM -3.4    MM
2018 02 24 05 00 260 11.0 15.0   3.0     8    MM  MM 1016.5   6.4   8.6    MM   MM -2.8    MM
2018 02 24 04 00 260 11.0 16.0   2.8     7    MM  MM 1017.5   6.5   8.6    MM   MM -2.0    MM
2018 02 24 03 00 260  9.0 12.0   2.7     8    MM  MM 1018.6   7.2   8.5    MM   MM -1.7    MM
2018 02 24 02 00 280  7.0  9.0   2.6     8    MM  MM 1019.3   6.7   8.5    MM   MM -1.0    MM
2018 02 24 01 00 280 10.0 13.0   2.7     8    MM  MM 1019.5   6.7   8.5    MM   MM -1.0    MM
2018 02 24 00 00 290  9.0 11.0   2.4     7    MM  MM 1020.3   7.4   8.5    MM   MM -0.4    MM
2018 02 23 23 00 290 10.0 12.0   2.4     7    MM  MM 1020.3   7.8   8.5    MM   MM -0.9    MM
2018 02 23 22 00 310  9.0 11.0   2.3    14    MM  MM 1020.5   7.5   8.5    MM   MM -1.4    MM
2018 02 23 21 00 300 12.0 15.0   2.2    15    MM  MM 1020.7   7.7   8.5    MM   MM -2.1    MM
2018 02 23 20 00 260 10.0 13.0   2.2    14    MM  MM 1021.2   7.8   8.5    MM   MM -2.5    MM
2018 02 23 19 00 240 10.0 12.0   2.0    15    MM  MM 1021.9   7.4   8.5    MM   MM -2.6    MM
2018 02 23 18 00 220 10.0 14.0   1.8    15    MM  MM 1022.8   6.7   8.5    MM   MM -2.6    MM
