#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 01 26 22 00 160  4.0  5.0   2.8    12    MM  MM 1017.7   7.1   9.4    MM   MM +0.1    MM
2018 01 26 21 00 200  3.0  4.0   3.0    11    MM  MM 1017.8   7.1   9.5    MM   MM +0.9    MM
2018 01 26 20 00 100  4.0  5.0   3.0    11    MM  MM 1017.6   6.5   9.5    MM   MM +1.8    MM
2018 01 26 19 00  70  3.0  4.0   3.2    12    MM  MM 1017.6   5.7   9.7    MM   MM +2.8    MM
2018 01 26 18 00 340  1.0  3.0   3.6    12    MM  MM 1016.9   5.6   9.7    MM   MM +3.0    MM
2018 01 26 17 00 240  4.0  6.0   3.3    12    MM  MM 1015.8   6.4   9.7    MM   MM +2.5    MM
2018 01 26 16 00 220  5.0  7.0   3.2    12    MM  MM 1014.8   6.1   9.7    MM   MM +2.2    MM
2018 01 26 15 00 250  7.0  9.0   3.5    12    MM  MM 1013.9   6.3   9.7    MM   MM +1.8    MM
2018 01 26 14 00 250  6.0  8.0   3.4    12    MM  MM 1013.3   5.7   9.7    MM   MM +1.8    MM
2018 01 26 13 00 260  6.0  9.0   3.9    13    MM  MM 1012.6   5.7   9.7    MM   MM +1.9    MM
2018 01 26 12 00 270  8.0 10.0   3.8    13    MM  MM 1012.1   4.0   9.7    MM   MM +1.7    MM
2018 01 26 11 00 200  8.0 10.0   4.0    14    MM  MM 1011.5   5.7   9.7    MM   MM +1.2    MM
2018 01 26 10 00 220 10.0 12.0   4.1    12    MM  MM 1010.7   7.0   9.6    MM   MM +1.1    MM
2018 01 26 09 00 220  7.0 10.0   3.9    14    MM  MM 1010.4   7.2   9.6    MM   MM +1.5    MM
2018 01 26 08 00 220  4.0  5.0   4.0    12    MM  MM 1010.3   6.5   9.6    MM   MM +2.2    MM
2018 01 26 07 00 240  7.0  9.0   4.0    14    MM  MM 1009.6   7.2   9.7    MM   MM +2.1    MM
2018 01 26 06 00 230  4.0  6.0   4.0    14    MM  MM 1008.9   6.6   9.7    MM   MM +2.2    MM
2018 01 26 05 00 240  4.0  7.0   3.7    14    MM  MM 1008.1   6.2   9.6    MM   MM +2.1    MM
2018 01 26 04 00 270  6.0 10.0   3.4    12    MM  MM 1007.5   6.5   9.5    MM   MM +2.0    MM
2018 01 26 03 00 260  7.0  9.0   3.1    12    MM  MM 1006.7   6.3   9.6    MM   MM +1.7    MM
2018 01 26 02 00 250  9.0 11.0   3.0    14    MM  MM 1006.0   6.7   9.7    MM   MM +1.4    MM
2018 01 26 01 00 210  4.0  7.0   3.1    12    MM  MM 1005.5   6.5   9.6    MM   MM +1.1    MM
2018 01 26 00 00 170  6.0  7.0   2.9    14    MM  MM 1005.0   7.1   9.7    MM   MM +1.0    MM
2018 01 25 23 00 100  7.0 10.0   3.0    14    MM  MM 1004.6   6.8   9.7    MM   MM +1.1    MM
2018 01 25 22 00 200  3.0  5.0   3.0    14    MM  MM 1004.4   7.7   9.7    MM   MM +1.3    MM
2018 01 25 21 00 280  1.0  2.0   3.1    14    MM  MM 1004.0   7.2   9.8    MM   MM +1.6    MM
2018 01 25 20 00 270  3.0  6.0   3.1    14    MM  MM 1003.5   7.3   9.7    MM   MM +1.9    MM
2018 01 25 19 00 210  4.0  6.0   3.4    10    MM  MM 1003.1   7.0   9.7    MM   MM +2.1    MM
2018 01 25 18 00 190  3.0  6.0   3.4    10    MM  MM 1002.4   6.9   9.7    MM   MM +1.8    MM
2018 01 25 17 00 190  4.0  5.0   3.4    10    MM  MM 1001.6   7.1   9.7    MM   MM +1.2    MM
2018 01 25 16 00 200  3.0  5.0   3.3     9    MM  MM 1001.0   6.5   9.6    MM   MM +0.5    MM
2018 01 25 15 00 170  5.0  7.0   3.0     9    MM  MM 1000.6   6.1   9.6    MM   MM -0.4    MM
2018 01 25 14 00 150  5.0  6.0   3.1    10    MM  MM 1000.4   6.1   9.6    MM   MM -0.8    MM
2018 01 25 13 00 140  7.0 10.0   3.2    10    MM  MM 1000.5   5.0   9.6    MM   MM -0.7    MM
2018 01 25 12 00 120 10.0 12.0   3.0    10    MM  MM 1001.0   4.7   9.7    MM   MM -0.8    MM
2018 01 25 11 00 140  8.0 12.0   2.9    11    MM  MM 1001.2   5.4   9.7    MM   MM -1.1    MM
2018 01 25 10 00 140  6.0  8.0   3.0    11    MM  MM 1001.2   8.1   9.7    MM   MM -0.7    MM
2018 01 25 09 00 110  3.0  4.0   3.0    11    MM  MM 1001.8   7.3   9.7    MM   MM +0.7    MM
2018 01 25 08 00 170  4.0  7.0   2.8    11    MM  MM 1002.3   5.9   9.7    MM   MM +1.8    MM
2018 01 25 07 00 220  4.0  5.0   2.9    11    MM  MM 1001.9   6.8   9.7    MM   MM +2.4    MM
2018 01 25 06 00 230  6.0  8.0   2.8    11    MM  MM 1001.1   6.8   9.6    MM   MM +3.0    MM
2018 01 25 05 00 230  6.0  8.0   3.0    11    MM  MM 1000.5   6.3   9.6    MM   MM +3.0    MM
2018 01 25 04 00 240  8.0 10.0   3.2    10    MM  MM  999.5   6.0   9.6    MM   MM +2.0    MM
2018 01 25 03 00 220  9.0 11.0   3.5    10    MM  MM  998.1   6.1   9.6    MM   MM +0.6    MM
2018 01 25 02 00 210  8.0 10.0   3.4    10    MM  MM  997.5   6.2   9.6    MM   MM -0.8    MM
2018 01 25 01 00 190  6.0  8.0   3.5    10    MM  MM  997.5   6.7   9.6    MM   MM -1.6    MM
2018 01 25 00 00  90  8.0 10.0   4.0    10    MM  MM  997.5   8.0   9.7    MM   MM -2.7    MM
2018 01 24 23 00 110  8.0 10.0   4.0    12    MM  MM  998.3   8.2   9.7    MM   MM -3.2    MM
2018 01 24 22 00 120  8.0 11.0   4.2    10    MM  MM  999.1   8.4   9.8    MM   MM -3.2    MM
2018 01 24 21 00 110  6.0  8.0   3.7    10    MM  MM 1000.2   8.4   9.9    MM   MM -3.0    MM
2018 01 24 20 00 100  5.0  7.0   3.6    11    MM  MM 1001.5   8.1   9.9    MM   MM -1.8    MM
2018 01 24 19 00  90  5.0  7.0   4.1    12    MM  MM 1002.3   8.3   9.9    MM   MM -0.8    MM
2018 01 24 18 00 100  2.0  4.0   3.9    12    MM  MM 1003.2   8.4   9.8    MM   MM +0.5    MM
2018 01 24 17 00 240  0.0  2.0   3.7    11    MM  MM 1003.3   8.7   9.8    MM   MM +0.7    MM
2018 01 24 16 00 270  2.0  4.0   3.5    11    MM  MM 1003.1   8.0   9.8    MM   MM +1.3    MM
